Date,Week,Product Name,Category,Store Location,Outward Qty,Inward Qty,Current Stock,Promotion,Holiday,Weather,TrendScore,MediaSurge,Month,Year,Hashtags,DemandMultiplier,FestivalPhase,TrendPhase,EventPhase,CityMultiplier
2024-01-01,1,Holi Color Pack,Festive,Mumbai,138,130,157,0,1,Cold,28,0,1,2024,#holi #colors #festivalofcolors #fun #celebration #spring #india,1.5,Normal,Normal,Normal,1.0
2024-01-01,1,Eid Sweet Box,Festive,Mumbai,201,205,223,1,1,Cold,50,0,1,2024,#eid #sweets #celebration #iftar #festival #ramadan #gift,1.5,Normal,Normal,Normal,1.0
2024-01-01,1,Christmas Cake,Festive,Mumbai,127,138,144,0,1,Cold,49,0,1,2024,#christmas #cake #holidayseason #baking #gifts #winter #joy,1.5,Normal,Normal,Normal,1.0
2024-01-01,1,Navratri Fasting Food Pack,Festive,Mumbai,127,132,144,0,1,Cold,33,0,1,2024,#navratri #fasting #indianfestivals #spiritual #food #cleanse #devotion,1.5,Normal,Normal,Normal,1.0
2024-01-01,1,Firecrackers Pack,Festive,Mumbai,112,113,115,0,1,Cold,46,0,1,2024,#firecrackers #diwali #celebration #lights #sound #festival #tradition,1.5,Normal,Normal,Normal,1.0
2024-01-01,1,New Year Party Kit,Events,Mumbai,597,820,966,1,1,Cold,22,0,1,2024,#newyear #party #celebration #2025 #cheers #countdown #midnight,7.2,Festival day,Normal,Normal,1.0
2024-01-01,1,Valentine's Day Chocolates,Festive,Mumbai,169,161,186,1,1,Cold,14,0,1,2024,#valentine #chocolates #gift #love #romance #hearts #sweet,1.5,Normal,Normal,Normal,1.0
2024-01-01,1,Ganesh Chaturthi Modak Box,Festive,Mumbai,122,127,130,0,1,Cold,12,0,1,2024,#ganeshchaturthi #modak #sweets #devotion #celebration #traditional,1.5,Normal,Normal,Normal,1.0
2024-01-01,1,IPL Team Jersey,Sports,Mumbai,272,391,444,0,1,Cold,24,0,1,2024,#ipl #jersey #cricket #teamspirit #matchday #sportswear #fans,2.1,Normal,Normal,Normal,1.4
2024-01-01,1,World Cup Cricket Kit,Sports,Mumbai,170,171,176,0,1,Cold,28,0,1,2024,#worldcup #cricket #kit #sportsgear #tournament #fans #teamindia,1.5,Normal,Normal,Normal,1.0
2024-01-01,1,National Flag Pack,Events,Mumbai,92,85,92,0,1,Cold,15,0,1,2024,#flag #independenceday #republicday #patriotism #india #nationalpride,1.5,Normal,Normal,Normal,1.0
2024-01-01,1,Match Day Snack Box,Events,Mumbai,205,240,264,1,1,Cold,24,0,1,2024,#snacks #matchday #cricket #watchparty #yum #quickbites #sports,1.95,Normal,Normal,Normal,1.3
2024-01-01,1,Bluetooth Speaker,Electronics,Mumbai,245,297,324,0,1,Cold,26,0,1,2024,#speaker #bluetooth #music #party #portable #sound #bass,1.8,Normal,Normal,Normal,1.2
2024-01-01,1,Gaming Headset,Electronics,Mumbai,217,213,231,0,1,Cold,44,0,1,2024,#gaming #headset #esports #soundquality #gamerlife #mic #pcgaming,1.5,Normal,Normal,Normal,1.0
2024-01-01,1,Live Streaming Dongle,Electronics,Mumbai,182,181,209,0,1,Cold,27,0,1,2024,#streaming #dongle #chromecast #tv #entertainment #wifi #online,1.5,Normal,Normal,Normal,1.0
2024-01-01,1,Instant Popcorn Tub,Snacks,Mumbai,210,200,229,0,1,Cold,39,0,1,2024,#popcorn #instantfood #movie #snacktime #microwave #easyfood,1.5,Normal,Normal,Normal,1.0
2024-01-01,1,Limited Edition Movie Merchandise,Entertainment,Mumbai,325,453,526,1,1,Cold,50,1,1,2024,#movie #merch #collectible #fan #limitededition #exclusive #fandom,2.7,Normal,Trend emerging,Normal,1.0
2024-01-01,1,Celebrity-endorsed Fragrance,Personal Care,Mumbai,189,264,308,0,1,Cold,33,1,1,2024,#fragrance #celebrity #perfume #style #luxury #scent #signature,2.1,Normal,Normal,Normal,1.4
2024-01-01,1,Sweater (Winterwear),Apparel,Mumbai,519,731,830,1,1,Cold,20,0,1,2024,#sweater #winterwear #warm #cozy #style #fashion #coldweather,3.3,Normal,Normal,Normal,1.0
2024-01-01,1,Raincoat / Windcheater,Apparel,Mumbai,390,536,631,1,1,Cold,33,0,1,2024,#raincoat #windcheater #monsoon #staydry #rainyseason #weatherproof,2.4,Normal,Normal,Normal,1.6
2024-01-01,1,Sunscreen SPF 50,Personal Care,Mumbai,151,154,166,0,1,Cold,32,0,1,2024,#sunscreen #spf50 #summer #uvprotection #skincare #sunblock,1.5,Normal,Normal,Normal,1.0
2024-01-01,1,Sunglasses (UV Protect),Accessories,Mumbai,133,128,147,0,1,Cold,23,0,1,2024,#sunglasses #uvprotection #fashion #summerstyle #accessories #cool,1.5,Normal,Normal,Normal,1.0
2024-01-01,1,Cooling Gel Sheet,Health,Mumbai,228,223,248,1,1,Cold,27,0,1,2024,#coolinggel #fever #relief #hotweather #comfort #instantrelief,1.5,Normal,Normal,Normal,1.0
2024-01-01,1,Herbal Tea for Cold,Health,Mumbai,444,624,714,1,1,Cold,14,0,1,2024,#herbaltea #cold #remedy #wellness #healing #naturalcure,3.3,Normal,Normal,Normal,1.0
2024-01-01,1,Watermelon (Summer Fruit),Fruits,Mumbai,287,291,320,0,1,Cold,48,0,1,2024,#watermelon #summerfruit #refreshing #hydration #healthy #cooling,1.5,Normal,Normal,Normal,1.0
2024-01-01,1,Mosquito Repellent Spray,Household,Mumbai,167,234,267,0,1,Cold,50,0,1,2024,#mosquito #repellent #spray #protection #health #insectcontrol,2.25,Normal,Normal,Normal,1.5
2024-01-01,1,Humidifier,Household,Mumbai,344,494,556,1,1,Cold,20,0,1,2024,#humidifier #airquality #home #wintercare #moisture #dryskin,3.3,Normal,Normal,Normal,1.0
2024-01-01,1,Air Purifier,Electronics,Mumbai,550,770,886,1,1,Cold,44,0,1,2024,#airpurifier #pollution #cleanair #health #home #freshair,3.3,Normal,Normal,Normal,1.0
2024-01-01,1,Hand Sanitizer,Hygiene,Mumbai,496,692,797,1,1,Cold,25,0,1,2024,#sanitizer #hygiene #covid #cleanhands #germfree #protection,2.7,Normal,Trend emerging,Normal,1.0
2024-01-01,1,N95 Mask Pack,Hygiene,Mumbai,341,482,546,0,1,Cold,20,0,1,2024,#n95 #mask #protection #healthsafety #pandemic #facemask,2.7,Normal,Trend emerging,Normal,1.0
2024-01-01,1,Immunity Booster Juice,Health,Mumbai,378,538,602,1,1,Cold,39,0,1,2024,#immunity #juice #health #vitamins #wellness #boost,3.3,Normal,Normal,Normal,1.0
2024-01-01,1,Vitamin C Tablets,Health,Mumbai,405,572,651,1,1,Cold,34,0,1,2024,#vitaminc #supplement #health #boost #immunity #antioxidant,3.3,Normal,Normal,Normal,1.0
2024-01-01,1,Herbal Kadha Kit,Health,Mumbai,428,582,684,1,1,Cold,27,0,1,2024,#kadha #ayurveda #immunity #wellbeing #naturalremedy #tradition,3.3,Normal,Normal,Normal,1.0
2024-01-01,1,Digital Thermometer,Health,Mumbai,388,540,616,0,1,Cold,50,0,1,2024,#thermometer #digital #healthmonitor #checkup #essential #tempcheck,3.3,Normal,Normal,Normal,1.0
2024-01-01,1,Oximeter,Health,Mumbai,401,557,648,1,1,Cold,45,0,1,2024,#oximeter #oxygenlevel #monitor #covidcare #device #breathmonitor,2.7,Normal,Trend emerging,Normal,1.0
2024-01-01,1,Steam Vaporizer,Health,Mumbai,336,472,535,0,1,Cold,24,0,1,2024,#vaporizer #steam #coldrelief #nasalcare #wellness #respiratory,3.3,Normal,Normal,Normal,1.0
2024-01-01,1,Pain Relief Balm,Health,Mumbai,514,714,820,1,1,Cold,30,0,1,2024,#painrelief #balm #musclerelief #natural #instantrelief #soothing,3.3,Normal,Normal,Normal,1.0
2024-01-01,1,Ayurvedic Chyawanprash,Health,Mumbai,523,744,838,1,1,Cold,13,0,1,2024,#chyawanprash #ayurveda #immunity #healthtonic #tradition #herbal,3.3,Normal,Normal,Normal,1.0
2024-01-01,1,Korean Ramen Pack,Snacks,Mumbai,409,485,531,1,1,Cold,44,0,1,2024,#koreanramen #noodles #spicy #quickmeal #asianfood #comfortfood,1.95,Normal,Normal,Normal,1.3
2024-01-01,1,Matcha Green Tea,Beverages,Mumbai,301,294,332,1,1,Cold,32,0,1,2024,#matcha #greentea #superfood #antioxidants #energy #detox,1.5,Normal,Normal,Normal,1.0
2024-01-01,1,Dalgona Coffee Kit,Beverages,Mumbai,227,215,250,0,1,Cold,30,0,1,2024,#dalgona #coffee #trending #diy #beverage #frothy,1.5,Normal,Normal,Normal,1.0
2024-01-01,1,Protein Pancake Mix,Snacks,Mumbai,382,534,612,0,1,Cold,35,0,1,2024,#protein #pancake #fitness #breakfast #healthyeating #energyfood,2.7,Normal,Trend emerging,Normal,1.0
2024-01-01,1,Hair Biotin Gummies,Personal Care,Mumbai,207,225,227,1,1,Cold,27,0,1,2024,#biotin #haircare #gummies #growth #supplement #hairgrowth,1.5,Normal,Normal,Normal,1.0
2024-01-01,1,TikTok Viral Gadget,Electronics,Mumbai,194,187,224,0,1,Cold,44,1,1,2024,#tiktok #viral #gadget #trending #tech #musthave,1.5,Normal,Normal,Normal,1.0
2024-01-01,1,Glow Serum (K-Beauty),Personal Care,Mumbai,140,128,158,0,1,Cold,53,0,1,2024,#kbeauty #glowserum #skincare #radiant #beautyroutine #glassskin,1.5,Normal,Normal,Normal,1.0
2024-01-01,1,Portable Blender Bottle,Kitchen,Mumbai,284,393,443,1,1,Cold,46,0,1,2024,#blenderbottle #portable #fitness #smoothies #kitchen #shakes,2.7,Normal,Trend emerging,Normal,1.0
2024-01-01,1,Mini Air Fryer,Kitchen,Mumbai,84,88,94,0,1,Cold,30,0,1,2024,#airfryer #cooking #healthy #snacks #kitchenappliance #oilfree,1.5,Normal,Normal,Normal,1.0
2024-01-01,1,Anime Stationery Set,Accessories,Mumbai,207,221,221,1,1,Cold,23,0,1,2024,#anime #stationery #otaku #cute #writing #kawaii,1.5,Normal,Normal,Normal,1.0
2024-01-01,1,Mithai Gift Box (Diwali),Festive,Bangalore,126,128,137,0,1,Cold,41,0,1,2024,#mithai #diwali #sweets #gifting #festivalvibes #celebration #tradition,1.5,Normal,Normal,Normal,1.0
2024-01-01,1,Rakhi Gift Hamper,Festive,Bangalore,113,122,123,0,1,Cold,35,0,1,2024,#rakhi #giftbox #festival #siblings #love #tradition #celebration,1.5,Normal,Normal,Normal,1.0
2024-01-01,1,Holi Color Pack,Festive,Bangalore,125,127,137,0,1,Cold,39,0,1,2024,#holi #colors #festivalofcolors #fun #celebration #spring #india,1.5,Normal,Normal,Normal,1.0
2024-01-01,1,Eid Sweet Box,Festive,Bangalore,130,130,143,0,1,Cold,19,0,1,2024,#eid #sweets #celebration #iftar #festival #ramadan #gift,1.5,Normal,Normal,Normal,1.0
2024-01-01,1,Christmas Cake,Festive,Bangalore,123,112,127,0,1,Cold,26,0,1,2024,#christmas #cake #holidayseason #baking #gifts #winter #joy,1.5,Normal,Normal,Normal,1.0
2024-01-01,1,Navratri Fasting Food Pack,Festive,Bangalore,133,143,138,0,1,Cold,18,0,1,2024,#navratri #fasting #indianfestivals #spiritual #food #cleanse #devotion,1.5,Normal,Normal,Normal,1.0
2024-01-01,1,Firecrackers Pack,Festive,Bangalore,181,181,209,1,1,Cold,25,0,1,2024,#firecrackers #diwali #celebration #lights #sound #festival #tradition,1.5,Normal,Normal,Normal,1.0
2024-01-01,1,New Year Party Kit,Events,Bangalore,539,768,872,0,1,Cold,45,0,1,2024,#newyear #party #celebration #2025 #cheers #countdown #midnight,7.2,Festival day,Normal,Normal,1.0
2024-01-01,1,Valentine's Day Chocolates,Festive,Bangalore,114,125,124,0,1,Cold,44,0,1,2024,#valentine #chocolates #gift #love #romance #hearts #sweet,1.5,Normal,Normal,Normal,1.0
2024-01-01,1,Ganesh Chaturthi Modak Box,Festive,Bangalore,192,177,216,1,1,Cold,26,0,1,2024,#ganeshchaturthi #modak #sweets #devotion #celebration #traditional,1.5,Normal,Normal,Normal,1.0
2024-01-01,1,IPL Team Jersey,Sports,Bangalore,170,171,186,0,1,Cold,47,0,1,2024,#ipl #jersey #cricket #teamspirit #matchday #sportswear #fans,1.5,Normal,Normal,Normal,1.0
2024-01-01,1,World Cup Cricket Kit,Sports,Bangalore,122,110,142,0,1,Cold,37,0,1,2024,#worldcup #cricket #kit #sportsgear #tournament #fans #teamindia,1.5,Normal,Normal,Normal,1.0
2024-01-01,1,National Flag Pack,Events,Bangalore,96,93,109,0,1,Cold,47,0,1,2024,#flag #independenceday #republicday #patriotism #india #nationalpride,1.5,Normal,Normal,Normal,1.0
2024-01-01,1,Match Day Snack Box,Events,Bangalore,80,79,80,0,1,Cold,35,0,1,2024,#snacks #matchday #cricket #watchparty #yum #quickbites #sports,1.5,Normal,Normal,Normal,1.0
2024-01-01,1,Bluetooth Speaker,Electronics,Bangalore,184,175,202,0,1,Cold,43,0,1,2024,#speaker #bluetooth #music #party #portable #sound #bass,1.5,Normal,Normal,Normal,1.0
2024-01-01,1,Gaming Headset,Electronics,Bangalore,493,697,788,1,1,Cold,34,0,1,2024,#gaming #headset #esports #soundquality #gamerlife #mic #pcgaming,2.7,Normal,Normal,Normal,1.8
2024-01-01,1,Live Streaming Dongle,Electronics,Bangalore,178,171,193,0,1,Cold,18,0,1,2024,#streaming #dongle #chromecast #tv #entertainment #wifi #online,1.5,Normal,Normal,Normal,1.0
2024-01-01,1,Instant Popcorn Tub,Snacks,Bangalore,305,296,334,1,1,Cold,42,0,1,2024,#popcorn #instantfood #movie #snacktime #microwave #easyfood,1.5,Normal,Normal,Normal,1.0
2024-01-01,1,Limited Edition Movie Merchandise,Entertainment,Bangalore,283,395,441,1,1,Cold,41,1,1,2024,#movie #merch #collectible #fan #limitededition #exclusive #fandom,2.7,Normal,Trend emerging,Normal,1.0
2024-01-01,1,Celebrity-endorsed Fragrance,Personal Care,Bangalore,142,143,152,0,1,Cold,15,1,1,2024,#fragrance #celebrity #perfume #style #luxury #scent #signature,1.5,Normal,Normal,Normal,1.0
2024-01-01,1,Sweater (Winterwear),Apparel,Bangalore,411,569,654,0,1,Cold,13,0,1,2024,#sweater #winterwear #warm #cozy #style #fashion #coldweather,3.3,Normal,Normal,Normal,1.0
2024-01-01,1,Raincoat / Windcheater,Apparel,Bangalore,253,234,276,1,1,Cold,17,0,1,2024,#raincoat #windcheater #monsoon #staydry #rainyseason #weatherproof,1.5,Normal,Normal,Normal,1.0
2024-01-01,1,Sunscreen SPF 50,Personal Care,Bangalore,133,139,135,0,1,Cold,19,0,1,2024,#sunscreen #spf50 #summer #uvprotection #skincare #sunblock,1.5,Normal,Normal,Normal,1.0
2024-01-01,1,Sunglasses (UV Protect),Accessories,Bangalore,121,129,148,0,1,Cold,50,0,1,2024,#sunglasses #uvprotection #fashion #summerstyle #accessories #cool,1.5,Normal,Normal,Normal,1.0
2024-01-01,1,Cooling Gel Sheet,Health,Bangalore,241,234,252,1,1,Cold,20,0,1,2024,#coolinggel #fever #relief #hotweather #comfort #instantrelief,1.5,Normal,Normal,Normal,1.0
2024-01-01,1,Herbal Tea for Cold,Health,Bangalore,419,577,667,1,1,Cold,37,0,1,2024,#herbaltea #cold #remedy #wellness #healing #naturalcure,3.3,Normal,Normal,Normal,1.0
2024-01-01,1,Watermelon (Summer Fruit),Fruits,Bangalore,438,446,486,1,1,Cold,48,0,1,2024,#watermelon #summerfruit #refreshing #hydration #healthy #cooling,1.5,Normal,Normal,Normal,1.0
2024-01-01,1,Mosquito Repellent Spray,Household,Bangalore,127,120,140,0,1,Cold,14,0,1,2024,#mosquito #repellent #spray #protection #health #insectcontrol,1.5,Normal,Normal,Normal,1.0
2024-01-01,1,Humidifier,Household,Bangalore,352,489,571,1,1,Cold,34,0,1,2024,#humidifier #airquality #home #wintercare #moisture #dryskin,3.3,Normal,Normal,Normal,1.0
2024-01-01,1,Air Purifier,Electronics,Bangalore,537,767,863,1,1,Cold,34,0,1,2024,#airpurifier #pollution #cleanair #health #home #freshair,3.3,Normal,Normal,Normal,1.0
2024-01-01,1,Hand Sanitizer,Hygiene,Bangalore,510,711,816,1,1,Cold,48,0,1,2024,#sanitizer #hygiene #covid #cleanhands #germfree #protection,2.7,Normal,Trend emerging,Normal,1.0
2024-01-01,1,N95 Mask Pack,Hygiene,Bangalore,496,690,790,1,1,Cold,39,0,1,2024,#n95 #mask #protection #healthsafety #pandemic #facemask,2.7,Normal,Trend emerging,Normal,1.0
2024-01-01,1,Immunity Booster Juice,Health,Bangalore,422,570,672,1,1,Cold,43,0,1,2024,#immunity #juice #health #vitamins #wellness #boost,3.3,Normal,Normal,Normal,1.0
2024-01-01,1,Vitamin C Tablets,Health,Bangalore,352,485,562,0,1,Cold,26,0,1,2024,#vitaminc #supplement #health #boost #immunity #antioxidant,3.3,Normal,Normal,Normal,1.0
2024-01-01,1,Herbal Kadha Kit,Health,Bangalore,337,466,540,0,1,Cold,45,0,1,2024,#kadha #ayurveda #immunity #wellbeing #naturalremedy #tradition,3.3,Normal,Normal,Normal,1.0
